Label	Total Fwd Packets	Total Backward Packets	Flow Bytes/s	Flow Packets/s	Flow Duration	FIN Flag Count	SYN Flag Count	ACK Flag Count	Packet Length Mean	Down/Up Ratio	Average Packet Size
DDoS	3	5	537073	369.344	21660	0	0	0	1292.56	1	1454.12
BENIGN	2	2	725664	17699.1	226	0	0	0	39.4	1	49.25
DDoS	3	6	8915.16	6.89731	1.30486e+06	0	0	0	1163.3	2	1292.56
BENIGN	2	1	204762	14285.7	210	0	1	1	20	0	26.6667
DDoS	5	0	2.52094	0.420156	1.19003e+07	0	0	1	6	0	7.2
BENIGN	2	2	7907.19	129.626	30858	0	0	0	55.2	1	69
BENIGN	2	0	160.402	26.7337	74812	0	0	1	6	0	9
DDoS	3	6	11227.8	8.68651	1.03609e+06	0	0	0	1163.3	2	1292.56
DDoS	4	0	3.26146	0.543577	7.35866e+06	0	0	1	6	0	7.5
BENIGN	2	2	1.03604e+06	18018	222	0	0	0	53.6	1	67
DDoS	4	0	3.98346	0.66391	6.02492e+06	0	0	1	6	0	7.5
BENIGN	2	2	1.26829e+06	24390.2	164	0	0	0	50.4	1	63
DDoS	3	6	9343.96	7.22906	1.24498e+06	0	0	0	1163.3	2	1292.56
DDoS	8	5	142.95	0.159337	8.15881e+07	0	0	1	833.5	0	897.615
DDoS	5	0	9.56656	1.59443	3.13592e+06	0	0	1	6	0	7.2
DDoS	5	0	2.85152	0.475253	1.05207e+07	0	0	1	6	0	7.2
DDoS	5	0	3.28058	0.546763	9.14474e+06	0	0	1	6	0	7.2
DDoS	3	5	376900	259.328	30849	0	0	0	1291.89	1	1453.38
DDoS	3	7	6542.09	5.62664	1.77726e+06	0	0	0	1057	2	1162.7
DDoS	8	6	154.218	0.185215	7.55879e+07	0	0	1	777.533	0	833.071
DDoS	3	5	31645	21.7623	367609	0	0	0	1292.56	1	1454.12
DDoS	3	6	46718	36.1626	248876	0	0	0	1162.7	2	1291.89
DDoS	8	6	141.349	0.169672	8.25122e+07	0	0	1	777.933	0	833.5
DDoS	8	5	157.782	0.17596	7.38805e+07	0	0	1	833.071	0	897.154
DDoS	3	4	550912	331.675	21105	0	0	0	1453.38	1	1661
BENIGN	7	4	135.907	1.99065	5.52583e+06	0	0	0	62.5833	0	68.2727
DDoS	8	4	119.548	0.123003	9.75588e+07	0	0	1	897.615	0	972.417
BENIGN	6	4	11.2956	0.116209	8.60516e+07	0	0	0	91.6364	0	100.8
DDoS	3	6	26877.7	20.7942	432812	0	0	0	1163.3	2	1292.56
BENIGN	3	0	9.25e+06	750000	4	0	0	1	9.25	0	12.3333
BENIGN	1	1	2996.83	58.7613	34036	0	0	0	48.3333	1	72.5
BENIGN	16	14	90.4411	0.493943	6.07357e+07	0	0	0	177.194	0	183.1
BENIGN	1	1	592.579	11.8516	168754	0	0	0	47.3333	1	71
BENIGN	2	2	11924.8	126.859	31531	0	0	0	81.6	1	102
DDoS	3	5	8828.72	6.0715	1.31763e+06	0	0	0	1292.56	1	1454.12
BENIGN	2	0	0	666667	3	0	0	1	0	0	0
BENIGN	1	1	99173.6	16528.9	121	0	0	1	6	1	9
DDoS	5	0	4.97525	0.829209	6.02985e+06	0	0	1	6	0	7.2
DDoS	3	6	6393.24	4.94875	1.81864e+06	0	0	0	1162.7	2	1291.89
DDoS	5	0	16.3396	2.72327	1.83602e+06	0	0	1	6	0	7.2
DDoS	4	0	11.9048	1.98414	2.01599e+06	0	0	1	6	0	7.5
BENIGN	1	1	0	26666.7	75	0	0	1	0	1	0
BENIGN	2	2	1.22013e+06	12578.6	318	0	0	0	83.8	1	104.75
BENIGN	14	10	61438.8	145.748	164668	0	0	0	404.68	0	421.542
DDoS	3	4	12734	7.66253	913536	0	0	0	1454.12	1	1661.86
BENIGN	2	2	4311.62	65.8263	60766	0	0	0	59.8	1	74.75
DDoS	3	6	6148.23	4.75665	1.89209e+06	0	0	0	1163.3	2	1292.56
BENIGN	1	1	4e+06	666667	3	0	0	1	6	1	9
BENIGN	1	1	222222	37037	54	0	0	1	6	1	9
DDoS	4	0	3.36144	0.56024	7.1398e+06	0	0	1	6	0	7.5
DDoS	3	5	6759.57	4.64855	1.72097e+06	0	0	0	1292.56	1	1454.12
DDoS	3	5	7844.92	5.39494	1.48287e+06	0	0	0	1292.56	1	1454.12
BENIGN	1	1	1018.59	21.2206	94248	0	0	0	48	1	72
DDoS	8	6	141.416	0.16984	8.24304e+07	0	0	1	777.533	0	833.071
DDoS	8	5	121.531	0.135462	9.59676e+07	0	0	1	833.5	0	897.615
DDoS	8	4	122.162	0.125757	9.54224e+07	0	0	1	897.154	0	971.917
DDoS	9	5	121.636	0.145934	9.59336e+07	0	0	1	778.333	0	833.929
DDoS	4	0	5.02092	0.83682	4.78e+06	0	0	1	6	0	7.5
BENIGN	10	7	60705	212.649	79944	0	0	0	269.611	0	285.471
DDoS	3	5	15495	10.6614	750371	0	0	0	1291.89	1	1453.38
DDoS	4	0	3.35823	0.559705	7.14662e+06	0	0	1	6	0	7.5
BENIGN	10	5	15855.7	183.941	81548	0	0	0	80.8125	0	86.2
BENIGN	5	1	29.8186	0.988461	6.07004e+06	0	1	1	32.4286	0	37.8333
BENIGN	2	2	1.7801e+06	20942.4	191	0	0	0	77.2	1	96.5
DDoS	3	5	7861.74	5.40651	1.4797e+06	0	0	0	1292.56	1	1454.12
DDoS	8	4	144.138	0.148379	8.08741e+07	0	0	1	897.154	0	971.917
DDoS	8	4	131.705	0.13551	8.8554e+07	0	0	1	897.615	0	972.417
BENIGN	2	0	155844	25974	77	0	0	1	6	0	9
DDoS	9	6	126.728	0.162987	9.20319e+07	0	0	1	729.312	0	777.933
DDoS	5	0	3.09861	0.516435	9.68176e+06	0	0	1	6	0	7.2
DDoS	3	4	251367	151.335	46255	0	0	0	1453.38	1	1661
DDoS	4	0	5.86959	0.978266	4.08887e+06	0	0	1	6	0	7.5
BENIGN	3	1	0	0.695072	5.7548e+06	0	0	0	0	0	0
BENIGN	4	4	320.221	1.51137	5.29321e+06	0	0	0	188.333	1	211.875
BENIGN	2	2	17300.3	402.334	9942	0	0	0	41.4	1	51.75
DDoS	3	5	15554.4	10.6967	747893	0	0	0	1292.56	1	1454.12
DDoS	4	0	3.37034	0.561723	7.12095e+06	0	0	1	6	0	7.5
BENIGN	1	1	80.2995	0.597023	3.34996e+06	0	0	0	106.667	1	160
DDoS	3	4	142298	85.6259	81751	0	0	0	1454.12	1	1661.86
DDoS	3	4	46777.1	28.1475	248690	0	0	0	1454.12	1	1661.86
DDoS	3	6	20357.8	15.7501	571426	0	0	0	1163.3	2	1292.56
DDoS	3	5	21985.1	15.1269	528859	0	0	0	1291.89	1	1453.38
BENIGN	2	2	1.28643e+06	20100.5	199	0	0	0	58.8	1	73.5
BENIGN	1	1	0	58823.5	34	0	0	1	0	1	0
BENIGN	2	2	1.7095e+06	22346.4	179	0	0	0	67.4	1	84.25
BENIGN	1	2	290323	48387.1	62	0	0	1	6	2	8
BENIGN	2	2	3756.4	70.8755	56437	0	0	0	49.2	1	61.5
BENIGN	35	38	531.473	0.905892	8.05835e+07	0	0	0	578.757	1	586.685
DDoS	3	5	211471	145.428	55010	0	0	0	1292.56	1	1454.12
BENIGN	2	2	420.271	8.08213	494919	0	0	0	48.8	1	61
BENIGN	5	1	26.1455	0.992866	6.04311e+06	0	1	1	28.4286	0	33.1667
DDoS	4	0	2.01127	0.335212	1.19327e+07	0	0	1	6	0	7.5
DDoS	3	7	6226.45	5.35517	1.86736e+06	0	0	0	1057	2	1162.7
BENIGN	1	1	0	40816.3	49	0	0	1	0	1	0
BENIGN	2	0	4e+06	666667	3	0	0	1	6	0	9
DDoS	5	0	10.5045	1.75074	2.85593e+06	0	0	1	6	0	7.2
DDoS	3	4	46440.4	27.9449	250493	0	0	0	1454.12	1	1661.86
DDoS	4	0	5.9515	0.991917	4.0326e+06	0	0	1	6	0	7.5
DDoS	3	4	170722	102.73	68140	0	0	0	1454.12	1	1661.86
BENIGN	1	1	5431.62	64.6621	30930	0	0	0	74.6667	1	112
BENIGN	2	2	5611.88	81.9252	48825	0	0	0	63.2	1	79
DDoS	4	0	76.6893	12.7816	312951	0	0	1	6	0	7.5
BENIGN	16	13	10.1477	0.250241	1.15888e+08	0	0	0	39.2	0	40.5517
DDoS	4	0	3.03235	0.505391	7.91466e+06	0	0	1	6	0	7.5
BENIGN	1	1	230769	38461.5	52	0	0	1	6	1	9
BENIGN	1	1	3498.07	33.157	60319	0	0	0	90.6667	1	136
BENIGN	1	1	3644.65	75.9301	26340	0	0	0	48	1	72
DDoS	3	5	31605.5	21.7351	368069	0	0	0	1292.56	1	1454.12
BENIGN	1	1	400000	66666.7	30	0	0	1	6	1	9
BENIGN	2	2	1.19101e+06	22471.9	178	0	0	0	51.4	1	64.25
DDoS	3	6	8669.12	6.70696	1.34189e+06	0	0	0	1163.3	2	1292.56
DDoS	3	5	12235.6	8.41437	950754	0	0	0	1292.56	1	1454.12
DDoS	3	7	9462.62	8.13849	1.22873e+06	0	0	0	1057	2	1162.7
DDoS	4	0	5.77076	0.961793	4.1589e+06	0	0	1	6	0	7.5
BENIGN	7	4	147.054	2.07119	5.31096e+06	0	0	0	65.0833	0	71
DDoS	3	6	14318.7	11.0836	812013	0	0	0	1162.7	2	1291.89
DDoS	3	4	9531.09	5.73816	1.2199e+06	0	0	0	1453.38	1	1661
BENIGN	2	0	1.23333e+07	666667	3	0	1	1	22.6667	0	34
BENIGN	2	2	1.57692e+06	12820.5	312	0	0	0	110.2	1	137.75
DDoS	3	6	204337	158.169	56901	0	0	0	1162.7	2	1291.89
DDoS	3	6	15376.8	11.8964	756529	0	0	0	1163.3	2	1292.56
BENIGN	2	2	2173.15	30.3938	131606	0	0	0	65.8	1	82.25
DDoS	8	5	151.484	0.168936	7.6952e+07	0	0	1	833.071	0	897.154
DDoS	5	0	3.72727	0.621212	8.04878e+06	0	0	1	6	0	7.2
DDoS	3	5	13391	9.20899	868716	0	0	0	1292.56	1	1454.12
DDoS	8	6	163.16	0.195954	7.14454e+07	0	0	1	777.533	0	833.071
DDoS	8	4	126.592	0.130317	9.20831e+07	0	0	1	897.154	0	971.917
BENIGN	1	1	2118.4	28.2454	70808	0	0	0	65.6667	1	98.5
BENIGN	2	1	118.444	59.2218	50657	0	0	1	1.5	0	2
DDoS	3	6	6591.33	5.10209	1.76398e+06	0	0	0	1162.7	2	1291.89
BENIGN	5	5	175.615	1.9578	5.10777e+06	0	0	0	81.5455	1	89.7
DDoS	3	5	9732.02	6.6927	1.19533e+06	0	0	0	1292.56	1	1454.12
DDoS	3	6	271191	209.81	42896	0	0	0	1163.3	2	1292.56
DDoS	4	0	9.99593	1.66599	2.40098e+06	0	0	1	6	0	7.5
DDoS	2	6	12417.3	8.54379	936353	0	0	0	1291.89	3	1453.38
DDoS	3	5	247789	170.492	46923	0	0	0	1291.89	1	1453.38
DDoS	3	6	8817.41	6.82169	1.31932e+06	0	0	0	1163.3	2	1292.56
BENIGN	15	10	123096	346.476	72155	0	0	0	341.615	0	355.28
BENIGN	1	1	14337.8	85.8553	23295	0	0	0	124.333	1	186.5
DDoS	3	6	6309.33	4.88129	1.84378e+06	0	0	0	1163.3	2	1292.56
BENIGN	2	2	4325.8	47.0195	85071	0	0	0	82	1	102.5
DDoS	3	6	364986	282.521	31856	0	0	0	1162.7	2	1291.89
DDoS	7	4	119.103	0.11239	9.78735e+07	0	0	1	971.917	0	1060.27
DDoS	4	0	4.77907	0.796511	5.0219e+06	0	0	1	6	0	7.5
DDoS	4	0	5.28652	0.881086	4.53985e+06	0	0	1	6	0	7.5
DDoS	3	6	18430.7	14.2591	631176	0	0	0	1163.3	2	1292.56
DDoS	8	4	121.573	0.125086	9.59343e+07	0	0	1	897.615	0	972.417
BENIGN	8	6	1343.49	3.34319	4.18761e+06	0	0	0	375.067	0	401.857
DDoS	9	4	148.255	0.165165	7.87091e+07	0	0	1	833.929	0	898.077
BENIGN	86	180	2184.08	2.27278	1.17037e+08	0	0	0	957.375	2	960.974
DDoS	3	5	84342.9	58.0324	137854	0	0	0	1291.89	1	1453.38
BENIGN	2	0	49180.3	8196.72	244	0	0	1	6	0	9
BENIGN	8	7	1017.62	2.41638	6.20764e+06	0	0	0	394.812	0	421.133
DDoS	5	0	3.73099	0.621832	8.04076e+06	0	0	1	6	0	7.2
BENIGN	2	0	4e+06	666667	3	1	0	0	6	0	9
BENIGN	22	16	69.6927	0.320116	1.18707e+08	0	0	0	212.128	0	217.711
BENIGN	71	51	325.348	1.03455	1.17926e+08	0	0	0	311.927	0	314.484
BENIGN	1	1	0	27027	74	0	0	1	0	1	0
BENIGN	1	1	93023.3	15503.9	129	0	0	1	6	1	9
BENIGN	10	5	7581.69	50.4325	297427	0	0	0	140.938	0	150.333
BENIGN	2	1	0	83.1762	36068	0	0	1	0	0	0
BENIGN	2	2	2.19883e+06	23391.8	171	0	0	0	84.4	1	105.5
DDoS	3	5	244766	168.325	47527	0	0	0	1292.56	1	1454.12
DDoS	3	5	16298.6	11.2085	713744	0	0	0	1292.56	1	1454.12
BENIGN	1	1	0	38461.5	52	0	0	1	0	1	0
BENIGN	1	1	2285.3	40.093	49884	0	0	0	52.3333	1	78.5
BENIGN	1	1	480000	80000	25	0	0	1	6	1	9
DDoS	3	6	26925.4	20.8419	431823	0	0	0	1162.7	2	1291.89
DDoS	9	5	128.128	0.153802	9.10262e+07	0	0	1	777.933	0	833.5
BENIGN	2	1	895833	62500	48	0	1	1	18.5	0	24.6667
BENIGN	2	0	0	252.27	7928	0	0	1	0	0	0
DDoS	4	0	18.4451	3.07419	1.30116e+06	0	0	1	6	0	7.5
BENIGN	1	1	0	47619	42	0	0	1	0	1	0
DDoS	9	6	130.691	0.167998	8.92869e+07	0	0	1	729.688	0	778.333
DDoS	3	5	6184.37	4.25298	1.88103e+06	0	0	0	1292.56	1	1454.12
BENIGN	15	11	23989.2	74.5986	348532	0	0	0	309.667	0	321.577
BENIGN	16	14	11.474	0.260378	1.15217e+08	0	0	0	42.6452	0	44.0667
BENIGN	2	2	1.03704e+06	21164	189	0	0	0	46.2	1	57.75
BENIGN	2	2	40.6737	0.633054	6.31857e+06	0	0	0	59.2	1	74
BENIGN	1	1	0	51.5983	38761	0	0	1	0	1	0
DDoS	8	6	115.63	0.1388	1.00865e+08	0	0	1	777.933	0	833.5
DDoS	6	0	5.93195	0.988658	6.06883e+06	0	0	1	6	0	7
DDoS	3	5	12846.5	8.83908	905072	0	0	0	1291.89	1	1453.38
BENIGN	1	1	1202.5	20.3813	98129	0	0	0	56.3333	1	84.5
DDoS	8	6	145.326	0.174447	8.02538e+07	0	0	1	777.933	0	833.5
BENIGN	2	0	98360.7	16393.4	122	0	0	1	6	0	9
BENIGN	2	2	1.80247e+06	16460.9	243	0	0	0	95.6	1	119.5
DDoS	3	5	96528.1	66.4165	120452	0	0	0	1291.89	1	1453.38
BENIGN	2	2	811321	18867.9	212	0	0	0	41.4	1	51.75
BENIGN	1	1	352941	58823.5	34	0	0	1	6	1	9
DDoS	3	6	299572	231.887	38812	0	0	0	1162.7	2	1291.89
BENIGN	2	0	0	666667	3	0	0	1	0	0	0
DDoS	3	4	99233.6	59.7433	117168	0	0	0	1453.38	1	1661
BENIGN	1	1	206.32	1.8842	1.06146e+06	0	0	0	90.6667	1	136
DDoS	3	6	9597.04	7.42868	1.21152e+06	0	0	0	1162.7	2	1291.89
DDoS	4	0	5.90165	0.983609	4.06666e+06	0	0	1	6	0	7.5
DDoS	3	6	14402.1	11.1423	807732	0	0	0	1163.3	2	1292.56
BENIGN	1	1	5318.98	65.2635	30645	0	0	0	68	1	102
DDoS	4	0	2.97553	0.495922	8.06579e+06	0	0	1	6	0	7.5
BENIGN	2	2	1.90863e+06	20304.6	197	0	0	0	84.4	1	105.5
DDoS	4	0	3.73004	0.621673	6.43425e+06	0	0	1	6	0	7.5
BENIGN	1	1	2611.04	54.3966	36767	0	0	0	48	1	72
BENIGN	2	2	8092.49	165.153	24220	0	0	0	46.2	1	57.75
DDoS	3	5	6616.1	4.54988	1.75829e+06	0	0	0	1292.56	1	1454.12
DDoS	3	6	63305.5	49.0023	183665	0	0	0	1162.7	2	1291.89
DDoS	4	0	2.74169	0.456948	8.75373e+06	0	0	1	6	0	7.5
BENIGN	1	1	5523.42	37.1948	53771	0	0	0	115.333	1	173
BENIGN	5	2	78571.8	112.383	62287	0	0	1	611.75	0	699.143
DDoS	3	5	27864.7	19.1625	417482	0	0	0	1292.56	1	1454.12
DDoS	3	4	189479	114.075	61363	0	0	0	1453.38	1	1661
BENIGN	2	0	4e+06	666667	3	1	0	0	6	0	9
DDoS	4	0	1.86965	0.311608	1.28367e+07	0	0	1	6	0	7.5
DDoS	5	0	7.34231	1.22372	4.08591e+06	0	0	1	6	0	7.2
DDoS	3	4	6390.46	3.84736	1.81943e+06	0	0	0	1453.38	1	1661
DDoS	8	4	147.717	0.151986	7.89549e+07	0	0	1	897.615	0	972.417
DDoS	8	4	116.872	0.120311	9.97417e+07	0	0	1	897.154	0	971.917
BENIGN	2	2	2.17341e+06	23121.4	173	0	0	0	84.4	1	105.5
DDoS	8	6	163.162	0.195956	7.14445e+07	0	0	1	777.533	0	833.071
DDoS	3	6	6509.35	5.03863	1.7862e+06	0	0	0	1162.7	2	1291.89
BENIGN	1	1	4666.65	52.4343	38143	0	0	0	75.3333	1	113
DDoS	3	5	8677.48	5.9675	1.3406e+06	0	0	0	1292.56	1	1454.12
BENIGN	2	2	8094.52	65.2784	61276	0	0	0	106.8	1	133.5
DDoS	4	0	3.91204	0.652007	6.13491e+06	0	0	1	6	0	7.5
BENIGN	1	1	1481.99	20.0268	99866	0	0	0	65.3333	1	98
DDoS	3	6	133099	103.027	87356	0	0	0	1162.7	2	1291.89
DDoS	5	0	3.86298	0.64383	7.76602e+06	0	0	1	6	0	7.2
DDoS	4	0	212.384	35.3973	113003	0	0	1	6	0	7.5
BENIGN	4	4	4336.96	44.711	178927	0	0	0	94.3333	1	106.125
BENIGN	2	2	1.33641e+06	18433.2	217	0	0	0	67.4	1	84.25
DDoS	3	5	6416.3	4.41476	1.8121e+06	0	0	0	1291.89	1	1453.38
DDoS	3	4	29731.8	17.8907	391265	0	0	0	1454.12	1	1661.86
BENIGN	1	1	3719.9	65.2614	30646	0	0	0	54.3333	1	81.5
DDoS	5	0	4.91734	0.819557	6.10086e+06	0	0	1	6	0	7.2
BENIGN	2	2	4266.96	40.0653	99837	0	0	0	95	1	118.75
BENIGN	2	2	9519.61	76.771	52103	0	0	0	106	1	132.5
BENIGN	4	5	41721.5	139.381	64571	0	0	0	269.4	1	299.333
DDoS	5	0	2.52915	0.421525	1.18617e+07	0	0	1	6	0	7.2
DDoS	3	4	11661.2	7.02059	997067	0	0	0	1453.38	1	1661
BENIGN	1	1	44.1412	7.35686	271855	0	0	1	6	1	9
BENIGN	1	1	1.33333e+06	222222	9	0	0	1	6	1	9
DDoS	3	6	28103.1	21.7423	413940	0	0	0	1163.3	2	1292.56
DDoS	3	5	8573.1	5.89571	1.35692e+06	0	0	0	1292.56	1	1454.12
BENIGN	22	21	78.1248	0.371694	1.15687e+08	0	0	0	205.409	0	210.186
DDoS	4	0	8.36542	1.39424	2.86895e+06	0	0	1	6	0	7.5
DDoS	4	0	14.5367	2.42278	1.651e+06	0	0	1	6	0	7.5
DDoS	5	0	2.85069	0.475116	1.05238e+07	0	0	1	6	0	7.2
DDoS	3	5	6375.39	4.38435	1.82467e+06	0	0	0	1292.56	1	1454.12
BENIGN	1	1	6259.28	64.5286	30994	0	0	0	86	1	129
DDoS	8	6	147.166	0.176745	7.92101e+07	0	0	1	777.533	0	833.071
BENIGN	1	1	266667	44444.4	45	0	0	1	6	1	9
BENIGN	8	5	641.774	2.38783	5.44428e+06	0	0	0	249.571	0	268.769
BENIGN	2	2	2461.54	29.304	136500	0	0	0	74.6	1	93.25
DDoS	5	0	2.83027	0.471711	1.05997e+07	0	0	1	6	0	7.2
BENIGN	2	2	5802.4	126.139	31711	0	0	0	44.4	1	55.5
BENIGN	4	2	4279.86	67.5767	88788	0	0	0	60.8571	0	71
DDoS	4	0	4.06033	0.676721	5.91085e+06	0	0	1	6	0	7.5
DDoS	8	5	143.482	0.15993	8.12857e+07	0	0	1	833.5	0	897.615
BENIGN	4	2	4221.03	71.9493	83392	0	0	0	55.5714	0	64.8333
DDoS	5	0	10.4605	1.74342	2.86793e+06	0	0	1	6	0	7.2
DDoS	3	5	203639	140.115	57096	0	0	0	1291.89	1	1453.38
DDoS	3	6	10174.2	7.87142	1.14338e+06	0	0	0	1163.3	2	1292.56
DDoS	4	0	3.84383	0.640638	6.24378e+06	0	0	1	6	0	7.5
DDoS	3	4	14000.1	8.42435	830925	0	0	0	1454.12	1	1661.86
DDoS	3	4	1.25318e+06	754.473	9278	0	0	0	1453.38	1	1661
DDoS	4	0	70.3755	11.7292	341028	0	0	1	6	0	7.5
DDoS	3	6	20518.2	15.8742	566959	0	0	0	1163.3	2	1292.56
DDoS	3	4	7704.77	4.63624	1.50984e+06	0	0	0	1454.12	1	1661.86
BENIGN	2	2	6495.19	64.9519	61584	0	0	0	87	1	108.75
BENIGN	2	2	2.35676e+06	21621.6	185	0	0	0	97	1	121.25
DDoS	8	6	1331.01	1.59853	8.75802e+06	0	0	1	777.533	0	833.071
