Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Flow Duration,FIN Flag Count,SYN Flag Count,ACK Flag Count,Packet Length Mean,Down/Up Ratio,Average Packet Size,Label
8,4,122.1620983,0.125756642,95422395,0,0,1,897.1538462,0,971.9166667,DDoS
9,5,121.6362366,0.145934297,95933583,0,0,1,778.3333333,0,833.9285714,DDoS
4,0,5.020917351,0.836819558,4780003,0,0,1,6,0,7.5,DDoS
10,7,60704.9934954468,212.6488541979,79944,0,0,0,269.6111111111,0,285.4705882353,BENIGN
3,5,15495.00181,10.66139283,750371,0,0,0,1291.888889,1,1453.375,DDoS
4,0,3.358231354,0.559705226,7146619,0,0,1,6,0,7.5,DDoS
10,5,15855.69235297,183.9407465542,81548,0,0,0,80.8125,0,86.2,BENIGN
5,1,29.8185843915,0.988461361,6070040,0,1,1,32.4285714286,0,37.8333333333,BENIGN
2,2,1780104.71204188,20942.4083769633,191,0,0,0,77.2,1,96.5,BENIGN
3,5,7861.739355,5.406508625,1479698,0,0,0,1292.555556,1,1454.125,DDoS
8,4,144.1376823,0.148378844,80874063,0,0,1,897.1538462,0,971.9166667,DDoS
8,4,131.7049053,0.135510492,88554029,0,0,1,897.6153846,0,972.4166667,DDoS
2,0,155844.155844156,25974.025974026,77,0,0,1,6,0,9,BENIGN
9,6,126.7277412,0.162986892,92031941,0,0,1,729.3125,0,777.9333333,DDoS
5,0,3.09860889,0.516434815,9681764,0,0,1,6,0,7.2,DDoS
3,4,251367.4197,151.3349908,46255,0,0,0,1453.375,1,1661,DDoS
4,0,5.869593768,0.978265628,4088869,0,0,1,6,0,7.5,DDoS
3,1,0,0.6950721815,5754798,0,0,0,0,0,0,BENIGN
4,4,320.221445882,1.5113696561,5293212,0,0,0,188.3333333333,1,211.875,BENIGN
2,2,17300.3419835043,402.3335345001,9942,0,0,0,41.4,1,51.75,BENIGN
3,5,15554.36406,10.69671731,747893,0,0,0,1292.555556,1,1454.125,DDoS
4,0,3.370338716,0.561723119,7120946,0,0,1,6,0,7.5,DDoS
1,1,80.2995381732,0.5970225886,3349957,0,0,0,106.6666666667,1,160,BENIGN
3,4,142297.9535,85.6258639,81751,0,0,0,1454.125,1,1661.857143,DDoS
3,4,46777.11207,28.14749286,248690,0,0,0,1454.125,1,1661.857143,DDoS
3,6,20357.84161,15.75007088,571426,0,0,0,1163.3,2,1292.555556,DDoS
3,5,21985.06596,15.12690528,528859,0,0,0,1291.888889,1,1453.375,DDoS
2,2,1286432.16080402,20100.5025125628,199,0,0,0,58.8,1,73.5,BENIGN
1,1,0,58823.5294117647,34,0,0,1,0,1,0,BENIGN
2,2,1709497.20670391,22346.3687150838,179,0,0,0,67.4,1,84.25,BENIGN
1,2,290322.580645161,48387.0967741936,62,0,0,1,6,2,8,BENIGN
2,2,3756.400942644,70.8754894838,56437,0,0,0,49.2,1,61.5,BENIGN
35,38,531.4732678986,0.9058921396,80583545,0,0,0,578.7567567568,1,586.6849315069,BENIGN
3,5,211470.6417,145.428104,55010,0,0,0,1292.555556,1,1454.125,DDoS
2,2,420.2707917861,8.0821306113,494919,0,0,0,48.8,1,61,BENIGN
5,1,26.1454694204,0.9928659274,6043112,0,1,1,28.4285714286,0,33.1666666667,BENIGN
4,0,2.01127386,0.33521231,11932736,0,0,1,6,0,7.5,DDoS
3,7,6226.453995,5.355168139,1867355,0,0,0,1057,2,1162.7,DDoS
1,1,0,40816.3265306122,49,0,0,1,0,1,0,BENIGN
2,0,4000000,666666.666666667,3,0,0,1,6,0,9,BENIGN
5,0,10.50446282,1.750743804,2855929,0,0,1,6,0,7.2,DDoS
3,4,46440.41949,27.94489267,250493,0,0,0,1454.125,1,1661.857143,DDoS
4,0,5.951502692,0.991917115,4032595,0,0,1,6,0,7.5,DDoS
3,4,170722.0429,102.7296742,68140,0,0,0,1454.125,1,1661.857143,DDoS
1,1,5431.6197866149,64.6621403168,30930,0,0,0,74.6666666667,1,112,BENIGN
2,2,5611.8791602663,81.9252432156,48825,0,0,0,63.2,1,79,BENIGN
4,0,76.68932197,12.78155366,312951,0,0,1,6,0,7.5,DDoS
16,13,10.1477199976,0.2502413945,115888101,0,0,0,39.2,0,40.5517241379,BENIGN
4,0,3.032347568,0.505391261,7914660,0,0,1,6,0,7.5,DDoS
1,1,230769.230769231,38461.5384615385,52,0,0,1,6,1,9,BENIGN
1,1,3498.0686019331,33.1570483596,60319,0,0,0,90.6666666667,1,136,BENIGN
1,1,3644.6469248292,75.9301442673,26340,0,0,0,48,1,72,BENIGN
3,5,31605.48701,21.73505511,368069,0,0,0,1292.555556,1,1454.125,DDoS
1,1,400000,66666.6666666667,30,0,0,1,6,1,9,BENIGN
2,2,1191011.23595506,22471.9101123596,178,0,0,0,51.4,1,64.25,BENIGN
3,6,8669.115948,6.706958096,1341890,0,0,0,1163.3,2,1292.555556,DDoS
3,5,12235.55199,8.414374276,950754,0,0,0,1292.555556,1,1454.125,DDoS
3,7,9462.623573,8.138491075,1228729,0,0,0,1057,2,1162.7,DDoS
4,0,5.77075669,0.961792782,4158900,0,0,1,6,0,7.5,DDoS
7,4,147.0542824241,2.0711870764,5310964,0,0,0,65.0833333333,0,71,BENIGN
3,6,14318.73628,11.0835664,812013,0,0,0,1162.7,2,1291.888889,DDoS
3,4,9531.085668,5.738161149,1219903,0,0,0,1453.375,1,1661,DDoS
2,0,12333333.3333333,666666.666666667,3,0,1,1,22.6666666667,0,34,BENIGN
2,2,1576923.07692308,12820.5128205128,312,0,0,0,110.2,1,137.75,BENIGN
3,6,204337.3579,158.1694522,56901,0,0,0,1162.7,2,1291.888889,DDoS
3,6,15376.80644,11.89643755,756529,0,0,0,1163.3,2,1292.555556,DDoS
2,2,2173.1531997022,30.3937510448,131606,0,0,0,65.8,1,82.25,BENIGN
8,5,151.4840007,0.168936434,76952021,0,0,1,833.0714286,0,897.1538462,DDoS
5,0,3.727274342,0.62121239,8048777,0,0,1,6,0,7.2,DDoS
3,5,13391.02768,9.208993503,868716,0,0,0,1292.555556,1,1454.125,DDoS
8,6,163.1596647,0.195953959,71445354,0,0,1,777.5333333,0,833.0714286,DDoS
8,4,126.592121,0.130317016,92083140,0,0,1,897.1538462,0,971.9166667,DDoS
1,1,2118.4047000339,28.2453960005,70808,0,0,0,65.6666666667,1,98.5,BENIGN
2,1,118.4436504333,59.2218252167,50657,0,0,1,1.5,0,2,BENIGN
3,6,6591.329627,5.102087094,1763984,0,0,0,1162.7,2,1291.888889,DDoS
5,5,175.6148330122,1.9578019288,5107769,0,0,0,81.5454545455,1,89.7,BENIGN
3,5,9732.024241,6.692701275,1195332,0,0,0,1292.555556,1,1454.125,DDoS
3,6,271190.787,209.8097725,42896,0,0,0,1163.3,2,1292.555556,DDoS
4,0,9.995934986,1.665989164,2400976,0,0,1,6,0,7.5,DDoS
2,6,12417.32552,8.543786371,936353,0,0,0,1291.888889,3,1453.375,DDoS
3,5,247788.9308,170.4920828,46923,0,0,0,1291.888889,1,1453.375,DDoS
3,6,8817.407729,6.821685684,1319322,0,0,0,1163.3,2,1292.555556,DDoS
15,10,123096.112535514,346.4763356663,72155,0,0,0,341.6153846154,0,355.28,BENIGN
1,1,14337.8407383559,85.8553337626,23295,0,0,0,124.3333333333,1,186.5,BENIGN
3,6,6309.334756,4.881287098,1843776,0,0,0,1163.3,2,1292.555556,DDoS
2,2,4325.7984507059,47.0195483772,85071,0,0,0,82,1,102.5,BENIGN
3,6,364986.1878,282.5213461,31856,0,0,0,1162.7,2,1291.888889,DDoS
7,4,119.1026962,0.112389951,97873519,0,0,1,971.9166667,0,1060.272727,DDoS
4,0,4.77906578,0.796510963,5021902,0,0,1,6,0,7.5,DDoS
4,0,5.286515948,0.881085991,4539852,0,0,1,6,0,7.5,DDoS
3,6,18430.67544,14.2590973,631176,0,0,0,1163.3,2,1292.555556,DDoS
8,4,121.5727961,0.125085617,95934291,0,0,1,897.6153846,0,972.4166667,DDoS
8,6,1343.4861339861,3.3431933658,4187613,0,0,0,375.0666666667,0,401.8571428571,BENIGN
9,4,148.2547837,0.165165154,78709096,0,0,1,833.9285714,0,898.0769231,DDoS
86,180,2184.0806453701,2.2727788297,117037345,0,0,0,957.3745318352,2,960.9736842105,BENIGN
3,5,84342.85548,58.0324111,137854,0,0,0,1291.888889,1,1453.375,DDoS
2,0,49180.3278688525,8196.7213114754,244,0,0,1,6,0,9,BENIGN
8,7,1017.6173288455,2.4163780169,6207638,0,0,0,394.8125,0,421.1333333333,BENIGN
5,0,3.730990603,0.621831767,8040760,0,0,1,6,0,7.2,DDoS
2,0,4000000,666666.666666667,3,1,0,0,6,0,9,BENIGN
22,16,69.6926755188,0.320116242,118706879,0,0,0,212.1282051282,0,217.7105263158,BENIGN
71,51,325.3476416761,1.0345456326,117926166,0,0,0,311.9268292683,0,314.4836065574,BENIGN
1,1,0,27027.027027027,74,0,0,1,0,1,0,BENIGN
1,1,93023.2558139535,15503.8759689923,129,0,0,1,6,1,9,BENIGN
10,5,7581.6923144167,50.4325431114,297427,0,0,0,140.9375,0,150.3333333333,BENIGN
2,1,0,83.1762226905,36068,0,0,1,0,0,0,BENIGN
2,2,2198830.40935672,23391.8128654971,171,0,0,0,84.4,1,105.5,BENIGN
3,5,244766.1329,168.3253729,47527,0,0,0,1292.555556,1,1454.125,DDoS
3,5,16298.56083,11.20850053,713744,0,0,0,1292.555556,1,1454.125,DDoS
1,1,0,38461.5384615385,52,0,0,1,0,1,0,BENIGN
1,1,2285.301900409,40.0930157966,49884,0,0,0,52.3333333333,1,78.5,BENIGN
1,1,480000,80000,25,0,0,1,6,1,9,BENIGN
3,6,26925.38378,20.84187271,431823,0,0,0,1162.7,2,1291.888889,DDoS
9,5,128.1280089,0.153801948,91026155,0,0,1,777.9333333,0,833.5,DDoS
2,1,895833.333333333,62500,48,0,1,1,18.5,0,24.6666666667,BENIGN
2,0,0,252.2704339051,7928,0,0,1,0,0,0,BENIGN
4,0,18.44513648,3.074189413,1301156,0,0,1,6,0,7.5,DDoS
1,1,0,47619.0476190476,42,0,0,1,0,1,0,BENIGN
9,6,130.6910439,0.167997743,89286914,0,0,1,729.6875,0,778.3333333,DDoS
3,5,6184.367845,4.252982271,1881033,0,0,0,1292.555556,1,1454.125,DDoS
15,11,23989.1889410441,74.598602137,348532,0,0,0,309.6666666667,0,321.5769230769,BENIGN
16,14,11.474005913,0.260378349,115216953,0,0,0,42.6451612903,0,44.0666666667,BENIGN
2,2,1037037.03703704,21164.0211640212,189,0,0,0,46.2,1,57.75,BENIGN
2,2,40.6737407323,0.6330543305,6318573,0,0,0,59.2,1,74,BENIGN
1,1,0,51.5982559789,38761,0,0,1,0,1,0,BENIGN
8,6,115.6300166,0.138799643,100864813,0,0,1,777.9333333,0,833.5,DDoS
6,0,5.93195064,0.98865844,6068830,0,0,1,6,0,7,DDoS
3,5,12846.49177,8.839075786,905072,0,0,0,1291.888889,1,1453.375,DDoS
1,1,1202.4987516433,20.3813347736,98129,0,0,0,56.3333333333,1,84.5,BENIGN
8,6,145.3264627,0.174446581,80253794,0,0,1,777.9333333,0,833.5,DDoS
2,0,98360.6557377049,16393.4426229508,122,0,0,1,6,0,9,BENIGN
2,2,1802469.13580247,16460.9053497942,243,0,0,0,95.6,1,119.5,BENIGN
3,5,96528.07757,66.41649786,120452,0,0,0,1291.888889,1,1453.375,DDoS
2,2,811320.754716981,18867.9245283019,212,0,0,0,41.4,1,51.75,BENIGN
1,1,352941.176470588,58823.5294117647,34,0,0,1,6,1,9,BENIGN
3,6,299572.2972,231.8870452,38812,0,0,0,1162.7,2,1291.888889,DDoS
2,0,0,666666.666666667,3,0,0,1,0,0,0,BENIGN
3,4,99233.57913,59.74327461,117168,0,0,0,1453.375,1,1661,DDoS
1,1,206.3197919091,1.8841990129,1061459,0,0,0,90.6666666667,1,136,BENIGN
3,6,9597.035129,7.428684628,1211520,0,0,0,1162.7,2,1291.888889,DDoS
4,0,5.901654824,0.983609137,4066656,0,0,1,6,0,7.5,DDoS
3,6,14402.05415,11.14230958,807732,0,0,0,1163.3,2,1292.555556,DDoS
1,1,5318.9753630282,65.2635013868,30645,0,0,0,68,1,102,BENIGN
4,0,2.975529247,0.495921541,8065792,0,0,1,6,0,7.5,DDoS
2,2,1908629.44162437,20304.5685279188,197,0,0,0,84.4,1,105.5,BENIGN
4,0,3.730039625,0.621673271,6434248,0,0,1,6,0,7.5,DDoS
1,1,2611.0370712868,54.3966056518,36767,0,0,0,48,1,72,BENIGN
2,2,8092.485549133,165.1527663088,24220,0,0,0,46.2,1,57.75,BENIGN
3,5,6616.09851,4.549882926,1758287,0,0,0,1292.555556,1,1454.125,DDoS
3,6,63305.47464,49.00225955,183665,0,0,0,1162.7,2,1291.888889,DDoS
4,0,2.741687774,0.456947962,8753732,0,0,1,6,0,7.5,DDoS
1,1,5523.423406669,37.1947704153,53771,0,0,0,115.3333333333,1,173,BENIGN
5,2,78571.7726010243,112.3830012683,62287,0,0,1,611.75,0,699.1428571429,BENIGN
3,5,27864.67441,19.16250281,417482,0,0,0,1292.555556,1,1454.125,DDoS
3,4,189479.002,114.0752571,61363,0,0,0,1453.375,1,1661,DDoS
2,0,4000000,666666.666666667,3,1,0,0,6,0,9,BENIGN
4,0,1.869645074,0.311607512,12836661,0,0,1,6,0,7.5,DDoS
5,0,7.342305631,1.223717605,4085910,0,0,1,6,0,7.2,DDoS
3,4,6390.462947,3.847358788,1819430,0,0,0,1453.375,1,1661,DDoS
8,4,147.7172767,0.151985537,78954881,0,0,1,897.6153846,0,972.4166667,DDoS
8,4,116.8718484,0.12031073,99741727,0,0,1,897.1538462,0,971.9166667,DDoS
2,2,2173410.40462428,23121.387283237,173,0,0,0,84.4,1,105.5,BENIGN
8,6,163.1616949,0.195956398,71444465,0,0,1,777.5333333,0,833.0714286,DDoS
3,6,6509.353101,5.038632314,1786199,0,0,0,1162.7,2,1291.888889,DDoS
1,1,4666.6491885798,52.4342605458,38143,0,0,0,75.3333333333,1,113,BENIGN
3,5,8677.483746,5.967495054,1340596,0,0,0,1292.555556,1,1454.125,DDoS
2,2,8094.5231411972,65.278412429,61276,0,0,0,106.8,1,133.5,BENIGN
4,0,3.912039742,0.652006624,6134907,0,0,1,6,0,7.5,DDoS
1,1,1481.9858610538,20.0268359602,99866,0,0,0,65.3333333333,1,98,BENIGN
3,6,133099.043,103.0266954,87356,0,0,0,1162.7,2,1291.888889,DDoS
5,0,3.862980096,0.643830016,7766025,0,0,1,6,0,7.2,DDoS
4,0,212.383742,35.39729034,113003,0,0,1,6,0,7.5,DDoS
4,4,4336.9642368117,44.7109715135,178927,0,0,0,94.3333333333,1,106.125,BENIGN
2,2,1336405.52995392,18433.1797235023,217,0,0,0,67.4,1,84.25,BENIGN
3,5,6416.298402,4.414757652,1812104,0,0,0,1291.888889,1,1453.375,DDoS
3,4,29731.76747,17.8906879,391265,0,0,0,1454.125,1,1661.857143,DDoS
1,1,3719.89819226,65.261371794,30646,0,0,0,54.3333333333,1,81.5,BENIGN
5,0,4.917339523,0.819556587,6100860,0,0,1,6,0,7.2,DDoS
2,2,4266.9551368731,40.0653064495,99837,0,0,0,95,1,118.75,BENIGN
2,2,9519.6053970021,76.7710112661,52103,0,0,0,106,1,132.5,BENIGN
4,5,41721.5158507689,139.3814560716,64571,0,0,0,269.4,1,299.3333333333,BENIGN
5,0,2.529149715,0.421524953,11861694,0,0,1,6,0,7.2,DDoS
3,4,11661.20231,7.020591395,997067,0,0,0,1453.375,1,1661,DDoS
1,1,44.1411782016,7.3568630336,271855,0,0,1,6,1,9,BENIGN
1,1,1333333.33333333,222222.222222222,9,0,0,1,6,1,9,BENIGN
3,6,28103.10673,21.74228149,413940,0,0,0,1163.3,2,1292.555556,DDoS
3,5,8573.098321,5.895709324,1356919,0,0,0,1292.555556,1,1454.125,DDoS
22,21,78.1248419761,0.3716937602,115686634,0,0,0,205.4090909091,0,210.1860465116,BENIGN
4,0,8.365418198,1.394236366,2868954,0,0,1,6,0,7.5,DDoS
4,0,14.53667087,2.422778479,1650997,0,0,1,6,0,7.5,DDoS
5,0,2.850693502,0.475115584,10523755,0,0,1,6,0,7.2,DDoS
3,5,6375.388905,4.384347223,1824673,0,0,0,1292.555556,1,1454.125,DDoS
1,1,6259.2759889011,64.5286184423,30994,0,0,0,86,1,129,BENIGN
8,6,147.1656244,0.176745195,79210074,0,0,1,777.5333333,0,833.0714286,DDoS
